"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
-0.5439,56.1112,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09081515425493688840028305_1_Front
-0.9771,69.4532,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09081515425493688840028305_1_Front
-0.8187,62.493,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09081515425493688840028305_1_Front
-0.9447,68.6541,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09081515425493688840028305_1_Front
-0.8468,67.483,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09081515425493688840028305_1_Front
-0.5517,60.3923,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09081515425493688840028305_1_Front
-0.9796,69.4719,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09081515425493688840028305_1_Front
-0.8346,66.6797,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09081515425493688840028305_1_Front
-0.5439,56.1112,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.8187,62.493,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.8468,67.483,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.9796,69.4719,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.8346,66.6797,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.616,56.7314,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.9698,68.677,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.8249,63.2693,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.5253,55.3502,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.8699,67.7717,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.6384,57.7631,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.9723,68.7407,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.635,57.2375,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.9454,68.2532,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.9771,69.4517,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09082618030647547713737927_2_Front
-0.9796,69.4719,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.458,50.956,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.6482,60.7406,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.8187,62.493,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.5253,55.3502,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.8346,66.6797,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.8249,63.2693,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.9454,68.2532,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.6384,57.7631,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.8699,67.7717,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.5439,56.1112,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.616,56.7314,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.635,57.2375,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.8468,67.483,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.8678,67.6566,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09083413894352065464844008_3_Front
-0.458,50.956,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.9821,69.632,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.7307,61.4092,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.6583,56.9697,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.5253,55.3502,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.8346,66.6797,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.8249,63.2693,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.9454,68.2532,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.8187,62.493,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.8699,67.7717,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.5439,56.1112,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.616,56.7314,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.8468,67.483,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.9796,69.4719,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0908434782518166703482546_4_Front
-0.458,50.956,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.9821,69.632,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.7307,61.4092,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.6871,57.8305,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.5253,55.3502,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.8351,64.4142,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.8187,62.493,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.5458,55.5856,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.9454,68.253,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.8468,67.483,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.6583,56.9697,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.8699,67.7717,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.616,56.7314,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.8249,63.2693,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.9746,68.8558,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.8229,63.1091,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085310716119952594291682_5_Front
-0.458,50.956,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.9821,69.632,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.7307,61.4092,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.5253,55.3502,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.8351,64.4142,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.9454,68.253,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.8468,67.483,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.7014,58.0515,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.8187,62.493,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.5922,56.0189,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.6583,56.9697,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.5458,55.5856,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.8699,67.7717,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.9746,68.8558,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.616,56.7314,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.8252,63.2951,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.6871,57.8305,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09085914959549267803503532_6_Front
-0.458,50.956,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.9823,69.6551,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.5458,55.5856,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.8187,62.493,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.9454,68.253,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.8468,67.483,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.5277,52.314,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.8699,67.7717,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.5401,52.6174,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.7088,60.9033,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.7307,61.4092,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.7014,58.0515,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.8351,64.4142,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.616,56.7314,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.9746,68.8558,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.6871,57.8305,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.6583,56.9697,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.5922,56.0189,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09090711706761546130624455_7_Front
-0.458,50.956,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0909156598293253205182557_8_Front
-0.9823,69.6551,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0909156598293253205182557_8_Front
-0.8351,64.4142,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0909156598293253205182557_8_Front
-0.9454,68.253,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0909156598293253205182557_8_Front
-0.5458,55.5856,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0909156598293253205182557_8_Front
-0.8468,67.483,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0909156598293253205182557_8_Front
-0.7941,61.9869,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0909156598293253205182557_8_Front
-0.5401,52.6174,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_Both/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0909156598293253205182557_8_Front
