"Pmax=? [ F ""success"" ]","Rmin=? [ F ""done"" ]",experiment
-0.9429,209.3973,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0903178306039488080273356_1_Front
-0.85,196.0238,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0903178306039488080273356_1_Front
-0.8511,205.4036,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0903178306039488080273356_1_Front
-0.9872,211.6697,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0925339785314388057835862_2_Front
-0.7099,173.0576,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0925339785314388057835862_2_Front
-0.8415,194.652,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0925339785314388057835862_2_Front
-0.9429,209.3973,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0925339785314388057835862_2_Front
-0.85,196.0238,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0925339785314388057835862_2_Front
-0.8973,203.1902,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0925339785314388057835862_2_Front
-0.9044,203.5483,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0925339785314388057835862_2_Front
-0.8432,194.9598,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0925339785314388057835862_2_Front
-1.0,213.3121,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.6678,170.1109,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.7462,185.9529,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.7099,173.0576,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.8028,188.6757,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.9044,203.5483,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.9429,209.3973,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.8415,194.652,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.9872,211.6697,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.85,196.0238,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.8973,203.1902,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.9897,211.8188,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.9998,213.2731,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-0.8432,194.9598,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0926552906955142413383375_3_Front
-1.0,213.3121,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1012161749881835823961913_4_Front
-0.6678,170.1109,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1012161749881835823961913_4_Front
-0.7462,185.9529,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1012161749881835823961913_4_Front
-0.7099,173.0576,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1012161749881835823961913_4_Front
-0.8028,188.6757,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1012161749881835823961913_4_Front
-0.9424,205.4808,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1012161749881835823961913_4_Front
-0.9429,209.3973,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1012161749881835823961913_4_Front
-0.85,196.0238,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1012161749881835823961913_4_Front
-0.8973,203.1902,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1012161749881835823961913_4_Front
-0.9872,211.6697,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1012161749881835823961913_4_Front
-0.8415,194.652,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1012161749881835823961913_4_Front
-1.0,213.3121,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10140618046297606345843564_5_Front
-0.6678,170.1109,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10140618046297606345843564_5_Front
-0.7462,185.9529,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10140618046297606345843564_5_Front
-0.7099,173.0576,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10140618046297606345843564_5_Front
-0.8028,188.6757,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10140618046297606345843564_5_Front
-0.8973,203.1902,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10140618046297606345843564_5_Front
-0.9424,205.4808,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10140618046297606345843564_5_Front
-0.9429,209.3973,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10140618046297606345843564_5_Front
-0.85,196.0238,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10140618046297606345843564_5_Front
-0.9872,211.6697,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10140618046297606345843564_5_Front
-0.8415,194.652,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10140618046297606345843564_5_Front
-1.0,213.3121,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-0.6678,170.1109,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-0.7462,185.9529,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-0.8028,188.6757,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-0.9872,211.6697,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-0.8973,203.1902,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-0.95,206.6756,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-0.8415,194.652,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-0.7099,173.0576,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-0.7081,172.9636,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-0.9399,205.2877,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-0.85,196.0238,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_102304405482685147656127_6_Front
-1.0,213.3121,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.6812,167.2254,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.7462,185.9529,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.7099,173.0576,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.8972,203.186,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.9399,205.2877,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.8177,190.2851,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.8028,188.6757,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.9852,211.3577,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.7081,172.9636,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.85,196.0238,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.8973,203.1902,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-0.95,206.6756,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1023494019251284736388803_7_Front
-1.0,213.3121,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.6812,167.2254,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.9003,203.1406,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.7462,185.9529,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.7099,173.0576,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.85,196.0179,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.8177,190.2851,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.9399,205.2877,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.8028,188.6757,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.8492,195.9689,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.7081,172.9636,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.9594,207.3837,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.9852,211.3577,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.9543,206.3753,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.9861,211.4127,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-0.8092,189.7322,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1024533504422792882102324_8_Front
-1.0,213.3121,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.6812,167.2254,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.7462,185.9529,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.7099,173.0576,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.85,196.0179,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.9003,203.1406,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.8028,188.6757,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.8492,195.9689,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.7081,172.9636,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.9399,205.2877,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.8177,190.2851,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.9594,207.3837,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-0.9852,211.3577,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1025215160183896755008145_9_Front
-1.0,213.3121,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.6812,167.2254,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.7462,185.9529,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.7099,173.0576,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.85,196.0179,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.9399,205.2877,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.9003,203.1406,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.8028,188.6757,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.701,172.6592,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.9617,207.5559,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.8177,190.2851,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.9852,211.3577,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-0.8492,195.9689,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10254711126303925480393115_10_Front
-1.0,213.3121,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.6812,167.2254,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.7099,173.0576,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.748,186.1129,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.8028,188.6757,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.7462,185.9529,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.9003,203.1406,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.85,196.0179,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.9025,203.3041,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.683,167.3614,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.9399,205.2877,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.9617,207.5559,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-0.8177,190.2851,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10372616241432645022357479_11_Front
-1.0,213.3121,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10391814154413931458821447_12_Front
-0.6759,166.8994,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10391814154413931458821447_12_Front
-0.7099,173.0576,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10391814154413931458821447_12_Front
-0.8028,188.6757,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10391814154413931458821447_12_Front
-0.85,196.0179,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10391814154413931458821447_12_Front
-0.748,186.1129,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10391814154413931458821447_12_Front
-0.9399,205.2877,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10391814154413931458821447_12_Front
-0.7462,185.9529,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10391814154413931458821447_12_Front
-0.683,167.3614,outputExpAgricultural_PropMin/exp13/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10391814154413931458821447_12_Front
